FID_1,FID_1_1,FID_,FID_base_t,x_s,y_s,x_e,y_e,FID_2,OBJECTID,FID_市界,NAME,ADMINCODE,KIND,CITYCODE,PROVINCENA,FID_gis_os,osm_id,code,fclass,name_1,ref,oneway,maxspeed,layer,bridge,tunnel,road_len
0,4,4,3279,113.3456383620 ,23.1052610883 ,113.3456314100 ,23.1047406157 ,1,2,1,,440183,137,440100,4??,3701,25680211,5131,motorway_link, , ,F,0,0,F,F,57.19452278
1,2369,2369,8407,113.3187890050 ,23.1294289892 ,113.3187890490 ,23.1287902471 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,70.18245409
2,2393,2393,8406,113.3187889950 ,23.1295757300 ,113.3187890050 ,23.1294289892 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.680748283
3,2395,2395,8405,113.3187740220 ,23.1296349347 ,113.3187889950 ,23.1295757300 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.062192381
4,2405,2405,8404,113.3187590500 ,23.1296883417 ,113.3187740220 ,23.1296349347 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.062192381
5,2413,2413,8403,113.3187360930 ,23.1297455624 ,113.3187590500 ,23.1296883417 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.706023086
6,2424,2424,8402,113.3187051530 ,23.1297989999 ,113.3187360930 ,23.1297455624 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,7.377081472
7,2433,2433,8401,113.3186672270 ,23.1298562491 ,113.3187051530 ,23.1297989999 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,17.88300836
8,899,899,8199,113.3199621960 ,23.1204619875 ,113.3203812660 ,23.1214125989 ,16,17,1,,440183,137,440100,4??,5469,27318117,5134,secondary_link, , ,F,0,0,F,F,112.8002011
9,1796,1796,5508,113.3157205460 ,23.1260715842 ,113.3158123590 ,23.1260581156 ,17,18,1,,440183,137,440100,4??,5470,27318126,5114,secondary,华夏路, ,F,0,0,F,F,3.38253431
10,1801,1801,5508,113.3157205460 ,23.1260715842 ,113.3158123590 ,23.1260581156 ,17,18,1,,440183,137,440100,4??,5470,27318126,5114,secondary,华夏路, ,F,0,0,F,F,3.38253431
11,1802,1802,5373,113.3157205460 ,23.1260715842 ,113.3157744360 ,23.1260638852 ,17,18,1,,440183,137,440100,4??,5470,27318126,5114,secondary,华夏路, ,F,0,0,F,F,3.38253431
12,365,365,5302,113.3160265550 ,23.1167021210 ,113.3159197690 ,23.1167728946 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,11.25515401
13,368,368,5303,113.3159197690 ,23.1167728946 ,113.3158658770 ,23.1168129803 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,7.028492679
14,373,373,5304,113.3158658770 ,23.1168129803 ,113.3158359350 ,23.1168588183 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,7.028492679
15,382,382,5305,113.3158359350 ,23.1168588183 ,113.3158129790 ,23.1169122400 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,6.316578565
16,387,387,5306,113.3158129790 ,23.1169122400 ,113.3158049900 ,23.1169923223 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,6.316578565
17,400,400,5307,113.3158049900 ,23.1169923223 ,113.3157900120 ,23.1171163000 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,8.836722367
18,1934,1934,5360,113.3156676190 ,23.1265921735 ,113.3156446680 ,23.1265693263 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,3.426661481
19,1935,1935,5628,113.3156676190 ,23.1265921735 ,113.3156446680 ,23.1265693263 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,3.426661481
20,1940,1940,5359,113.3157055410 ,23.1266054963 ,113.3156676190 ,23.1265921735 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,2.749584484
21,1941,1941,5627,113.3157055410 ,23.1266054963 ,113.3156676190 ,23.1265921735 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,2.749584484
22,1948,1948,5358,113.3157284930 ,23.1266187474 ,113.3157055410 ,23.1266054963 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,4.780584767
23,1949,1949,5626,113.3157284930 ,23.1266187474 ,113.3157055410 ,23.1266054963 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,4.780584767
24,605,605,8066,113.3158966950 ,23.1185555092 ,113.3159426010 ,23.1185631191 ,38,39,1,,440183,137,440100,4??,6869,29141094,5141,service, , ,B,0,0,F,F,5.063686685
25,606,606,8067,113.3159426010 ,23.1185631191 ,113.3168257910 ,23.1185003680 ,38,39,1,,440183,137,440100,4??,6869,29141094,5141,service, , ,B,0,0,F,F,90.02351578
26,617,617,8090,113.3159346150 ,23.1185898233 ,113.3158128650 ,23.1185862556 ,38,39,1,,440183,137,440100,4??,6869,29141094,5141,service, , ,B,0,0,F,F,12.37971225
27,2006,2006,5356,113.3157663980 ,23.1268722729 ,113.3157743980 ,23.1266282566 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,26.82399586
28,2021,2021,5355,113.3157743700 ,23.1270457876 ,113.3157663980 ,23.1268722729 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,46.71688109
29,2081,2081,5354,113.3157823240 ,23.1274709004 ,113.3157743700 ,23.1270457876 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,46.71688109
30,2237,2237,5353,113.3157892430 ,23.1284622864 ,113.3157823240 ,23.1274709004 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,69.79918646
31,2326,2326,5352,113.3158121530 ,23.1290971864 ,113.3157892430 ,23.1284622864 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,69.79918646
32,2375,2375,5351,113.3158201120 ,23.1294575258 ,113.3158121530 ,23.1290971864 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,39.60091512
33,2404,2404,5350,113.3158200960 ,23.1296881328 ,113.3158201120 ,23.1294575258 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,6.968491391
34,2416,2416,5349,113.3158121080 ,23.1297511225 ,113.3158200960 ,23.1296881328 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,5.303104746
35,2423,2423,5348,113.3158041210 ,23.1297988184 ,113.3158121080 ,23.1297511225 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,5.497119057
36,2431,2431,5347,113.3157821630 ,23.1298445415 ,113.3158041210 ,23.1297988184 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,5.360577358
37,2443,2443,5346,113.3157592070 ,23.1298884673 ,113.3157821630 ,23.1298445415 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,7.080869012
38,2455,2455,5345,113.3157202840 ,23.1299419195 ,113.3157592070 ,23.1298884673 ,40,41,1,,440183,137,440100,4??,6871,29141657,5114,secondary,华夏路, ,F,0,0,F,F,7.080869012
39,2020,2020,5332,113.3159340540 ,23.1268719552 ,113.3159340420 ,23.1270454850 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,26.40682863
40,2077,2077,5333,113.3159340420 ,23.1270454850 ,113.3159340140 ,23.1274572184 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,45.23980019
41,2209,2209,5334,113.3159340140 ,23.1274572184 ,113.3159489280 ,23.1282675623 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,89.05050149
42,2327,2327,5335,113.3159489280 ,23.1282675623 ,113.3159718250 ,23.1291025815 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,89.05050149
43,2376,2376,5336,113.3159718250 ,23.1291025815 ,113.3159718000 ,23.1294610368 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,91.77817428
44,2399,2399,5337,113.3159718000 ,23.1294610368 ,113.3159877540 ,23.1296573273 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,39.38563634
45,2422,2422,5338,113.3159877540 ,23.1296573273 ,113.3160176830 ,23.1297984136 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,21.62845336
46,2442,2442,5339,113.3160176830 ,23.1297984136 ,113.3160555990 ,23.1298879056 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,15.79751589
47,2450,2450,5340,113.3160555990 ,23.1298879056 ,113.3160865330 ,23.1299279308 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,10.56095763
48,2460,2460,5341,113.3160865330 ,23.1299279308 ,113.3161094830 ,23.1299678711 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,4.969692672
49,2468,2468,5342,113.3161094830 ,23.1299678711 ,113.3161543880 ,23.1300078698 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,4.969692672
50,2487,2487,5343,113.3161543880 ,23.1300078698 ,113.3163220360 ,23.1301181072 ,41,42,1,,440183,137,440100,4??,6872,29141670,5114,secondary,华夏路, ,F,0,0,F,F,6.335465188
51,1924,1924,5630,113.3155987640 ,23.1265389255 ,113.3153931860 ,23.1265355162 ,45,46,1,,440183,137,440100,4??,6913,29165179,5114,secondary,金穗路, ,F,0,0,F,F,20.89480035
52,1925,1925,5362,113.3155987640 ,23.1265389255 ,113.3155688290 ,23.1264856039 ,45,46,1,,440183,137,440100,4??,6913,29165179,5114,secondary,金穗路, ,F,0,0,F,F,20.89480035
53,1930,1930,5361,113.3156446680 ,23.1265693263 ,113.3155987640 ,23.1265389255 ,45,46,1,,440183,137,440100,4??,6913,29165179,5114,secondary,金穗路, ,F,0,0,F,F,3.426661481
54,1931,1931,5629,113.3156446680 ,23.1265693263 ,113.3155987640 ,23.1265389255 ,45,46,1,,440183,137,440100,4??,6913,29165179,5114,secondary,金穗路, ,F,0,0,F,F,3.426661481
55,1951,1951,5631,113.3153931860 ,23.1265355162 ,113.3141597040 ,23.1266255103 ,45,46,1,,440183,137,440100,4??,6913,29165179,5114,secondary,金穗路, ,F,0,0,F,F,20.89480035
56,1909,1909,5782,113.3131477820 ,23.1264329927 ,113.3131248770 ,23.1257257224 ,46,47,1,,440183,137,440100,4??,6914,29165238,5114,secondary,金穗路, ,F,0,0,F,F,0.137130347
57,1911,1911,5498,113.3116478220 ,23.1265368591 ,113.3132236280 ,23.1264290518 ,46,47,1,,440183,137,440100,4??,6914,29165238,5114,secondary,金穗路, ,F,0,0,F,F,18.59090404
58,1923,1923,5498,113.3116478220 ,23.1265368591 ,113.3132236280 ,23.1264290518 ,46,47,1,,440183,137,440100,4??,6914,29165238,5114,secondary,金穗路, ,F,0,0,F,F,18.59090404
59,1927,1927,5497,113.3114651910 ,23.1265466958 ,113.3116478220 ,23.1265368591 ,46,47,1,,440183,137,440100,4??,6914,29165238,5114,secondary,金穗路, ,F,0,0,F,F,83.16031964
60,1945,1945,5496,113.3106498350 ,23.1266110870 ,113.3114651910 ,23.1265466958 ,46,47,1,,440183,137,440100,4??,6914,29165238,5114,secondary,金穗路, ,F,0,0,F,F,83.16031964
61,1950,1950,5495,113.3105430500 ,23.1266189821 ,113.3106498350 ,23.1266110870 ,46,47,1,,440183,137,440100,4??,6914,29165238,5114,secondary,金穗路, ,F,0,0,F,F,10.88641871
62,1071,1071,5174,113.3020690250 ,23.1223521279 ,113.3026628880 ,23.1223243976 ,48,49,1,,440183,137,440100,4??,6916,29165515,5114,secondary,寺右新马路, ,F,0,0,F,F,58.90594417
63,1095,1095,5174,113.3020690250 ,23.1223521279 ,113.3026628880 ,23.1223243976 ,48,49,1,,440183,137,440100,4??,6916,29165515,5114,secondary,寺右新马路, ,F,0,0,F,F,58.90594417
64,1218,1218,5173,113.2987642340 ,23.1226475985 ,113.3020690250 ,23.1223521279 ,48,49,1,,440183,137,440100,4??,6916,29165515,5114,secondary,寺右新马路, ,F,0,0,F,F,337.4205503
65,1220,1220,5172,113.2981244150 ,23.1226925601 ,113.2987642340 ,23.1226475985 ,48,49,1,,440183,137,440100,4??,6916,29165515,5114,secondary,寺右新马路, ,F,0,0,F,F,65.21001476
66,1223,1223,5171,113.2973398510 ,23.1227605463 ,113.2981244150 ,23.1226925601 ,48,49,1,,440183,137,440100,4??,6916,29165515,5114,secondary,寺右新马路, ,F,0,0,F,F,41.16209446
67,1227,1227,5170,113.2969365850 ,23.1227955029 ,113.2973398510 ,23.1227605463 ,48,49,1,,440183,137,440100,4??,6916,29165515,5114,secondary,寺右新马路, ,F,0,0,F,F,6.543797014
68,1234,1234,5229,113.2969365850 ,23.1227955029 ,113.2969365820 ,23.1228489811 ,48,49,1,,440183,137,440100,4??,6916,29165515,5114,secondary,寺右新马路, ,F,0,0,F,F,6.543797014
69,94,94,10295,113.3097525870 ,23.1126624424 ,113.3097905340 ,23.1123211126 ,92,99,1,,440183,137,440100,4??,10806,33563315,5133,primary_link, , ,F,0,1,T,F,37.70296366
70,99,99,10294,113.3097296190 ,23.1128702995 ,113.3097525870 ,23.1126624424 ,92,99,1,,440183,137,440100,4??,10806,33563315,5133,primary_link, , ,F,0,1,T,F,36.74165511
71,695,695,2854,113.2767966480 ,23.1193504879 ,113.2771311960 ,23.1195865050 ,133,194,1,,440183,137,440100,4??,21483,40016175,5112,trunk, , ,F,0,0,F,F,42.76129232
72,728,728,2855,113.2771311960 ,23.1195865050 ,113.2775656070 ,23.1198604862 ,133,194,1,,440183,137,440100,4??,21483,40016175,5112,trunk, , ,F,0,0,F,F,42.76129232
73,2382,2382,5710,113.3286187750 ,23.1295035784 ,113.3278343740 ,23.1295451535 ,137,198,1,,440183,137,440100,4??,21487,40016195,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,207.9505453
74,2384,2384,5710,113.3286187750 ,23.1295035784 ,113.3278343740 ,23.1295451535 ,137,198,1,,440183,137,440100,4??,21487,40016195,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,207.9505453
75,2385,2385,5710,113.3286187750 ,23.1295035784 ,113.3278343740 ,23.1295451535 ,137,198,1,,440183,137,440100,4??,21487,40016195,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,207.9505453
76,2436,2436,5711,113.3278343740 ,23.1295451535 ,113.3217508610 ,23.1299171304 ,137,198,1,,440183,137,440100,4??,21487,40016195,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,9.674574042
77,2439,2439,5711,113.3278343740 ,23.1295451535 ,113.3217508610 ,23.1299171304 ,137,198,1,,440183,137,440100,4??,21487,40016195,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,9.674574042
78,2449,2449,5711,113.3278343740 ,23.1295451535 ,113.3217508610 ,23.1299171304 ,137,198,1,,440183,137,440100,4??,21487,40016195,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,9.674574042
79,2498,2498,5838,113.3152941400 ,23.1302039208 ,113.3163220360 ,23.1301181072 ,138,199,1,,440183,137,440100,4??,21488,40016198,5132,trunk_link,内环路, ,F,0,0,F,F,104.8788727
80,2362,2362,5665,113.3276208190 ,23.1294216100 ,113.3287784590 ,23.1293565344 ,139,200,1,,440183,137,440100,4??,21489,40016208,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,489.3869483
81,2365,2365,5665,113.3276208190 ,23.1294216100 ,113.3287784590 ,23.1293565344 ,139,200,1,,440183,137,440100,4??,21489,40016208,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,489.3869483
82,2368,2368,5665,113.3276208190 ,23.1294216100 ,113.3287784590 ,23.1293565344 ,139,200,1,,440183,137,440100,4??,21489,40016208,5112,trunk,黄埔大道隧道, ,F,0,-1,F,T,489.3869483
83,2485,2485,5712,113.3217508610 ,23.1299171304 ,113.3195204500 ,23.1301177148 ,140,201,1,,440183,137,440100,4??,21490,40016211,5112,trunk,黄埔大道隧道, ,F,0,0,F,F,84.07813167
84,2496,2496,5713,113.3195204500 ,23.1301177148 ,113.3187430480 ,23.1301935684 ,140,201,1,,440183,137,440100,4??,21490,40016211,5112,trunk,黄埔大道隧道, ,F,0,0,F,F,79.43750318
85,2344,2344,5667,113.3308033550 ,23.1292249523 ,113.3309560490 ,23.1291807820 ,141,202,1,,440183,137,440100,4??,21491,40016214,5112,trunk,黄埔大道隧道, ,F,0,0,F,F,206.2775423
86,2356,2356,5666,113.3287784590 ,23.1293565344 ,113.3308033550 ,23.1292249523 ,141,202,1,,440183,137,440100,4??,21491,40016214,5112,trunk,黄埔大道隧道, ,F,0,0,F,F,77.12884776
87,2418,2418,2000,113.3011163370 ,23.1297722799 ,113.3007360700 ,23.1295746178 ,142,203,1,,440183,137,440100,4??,21492,40016219,5132,trunk_link, , ,F,0,2,T,F,50.65414683
88,2469,2469,5859,113.3020225740 ,23.1303140833 ,113.3011163370 ,23.1297722799 ,142,203,1,,440183,137,440100,4??,21492,40016219,5132,trunk_link, , ,F,0,2,T,F,59.00337041
89,2343,2343,10276,113.3098123460 ,23.1291941943 ,113.3097974480 ,23.1281265533 ,150,211,1,,440183,137,440100,4??,21500,40020609,5112,trunk,广州大道中, ,F,0,0,F,F,28.53514574
90,2372,2372,10275,113.3098502520 ,23.1294515203 ,113.3098123460 ,23.1291941943 ,150,211,1,,440183,137,440100,4??,21500,40020609,5112,trunk,广州大道中, ,F,0,0,F,F,28.53514574
91,2451,2451,10274,113.3098651900 ,23.1299299996 ,113.3098502520 ,23.1294515203 ,150,211,1,,440183,137,440100,4??,21500,40020609,5112,trunk,广州大道中, ,F,0,0,F,F,212.8241071
92,1608,1608,2866,113.2863185270 ,23.1252695072 ,113.2864942430 ,23.1253722157 ,158,219,1,,440183,137,440100,4??,21508,40026475,5112,trunk,内环路, ,F,0,2,T,F,106.0584436
93,1618,1618,2867,113.2864942430 ,23.1253722157 ,113.2866160460 ,23.1254292189 ,158,219,1,,440183,137,440100,4??,21508,40026475,5112,trunk,内环路, ,F,0,2,T,F,13.87254824
94,1636,1636,2868,113.2866160460 ,23.1254292189 ,113.2867837740 ,23.1255129452 ,158,219,1,,440183,137,440100,4??,21508,40026475,5112,trunk,内环路, ,F,0,2,T,F,13.87254824
95,1654,1654,2869,113.2867837740 ,23.1255129452 ,113.2869205520 ,23.1255794222 ,158,219,1,,440183,137,440100,4??,21508,40026475,5112,trunk,内环路, ,F,0,2,T,F,19.36932441
96,1701,1701,2870,113.2869205520 ,23.1255794222 ,113.2873318840 ,23.1257485612 ,158,219,1,,440183,137,440100,4??,21508,40026475,5112,trunk,内环路, ,F,0,2,T,F,15.70221423
97,340,340,2063,113.2741751270 ,23.1165373467 ,113.2741521640 ,23.1164001275 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,15.25703254
98,399,399,2062,113.2742130430 ,23.1171016752 ,113.2741751270 ,23.1165373467 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,62.12728633
99,434,434,2061,113.2742509810 ,23.1173456348 ,113.2742130430 ,23.1171016752 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,12.54483908
100,442,442,2060,113.2742819360 ,23.1174561564 ,113.2742509810 ,23.1173456348 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,7.556159031
101,446,446,2059,113.2743198860 ,23.1175152916 ,113.2742819360 ,23.1174561564 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,9.406649358
102,455,455,2058,113.2743658250 ,23.1175896118 ,113.2743198860 ,23.1175152916 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,4.972634154
103,458,458,2057,113.2743887940 ,23.1176295708 ,113.2743658250 ,23.1175896118 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,13.80414583
104,473,473,2056,113.2744796770 ,23.1177229348 ,113.2743887940 ,23.1176295708 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,7.836445403
105,478,478,2055,113.2745405990 ,23.1177666512 ,113.2744796770 ,23.1177229348 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,7.836445403
106,483,483,2054,113.2746015220 ,23.1178066689 ,113.2745405990 ,23.1177666512 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,24.29360723
107,517,517,2052,113.2750289730 ,23.1181226744 ,113.2747922780 ,23.1179399075 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,31.33627578
108,526,526,2051,113.2752796510 ,23.1182864319 ,113.2750289730 ,23.1181226744 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,9.4027582
109,635,635,2049,113.2758439110 ,23.1187300231 ,113.2753485610 ,23.1183435324 ,176,237,1,,440183,137,440100,4??,21566,40096304,5112,trunk, , ,F,0,1,T,F,65.86222008
110,787,787,2857,113.2780149910 ,23.1201307455 ,113.2784723550 ,23.1204542674 ,179,240,1,,440183,137,440100,4??,21569,40096307,5113,primary,东华南路, ,F,0,0,F,F,54.47592928
111,97,97,2835,113.2730856970 ,23.1125347339 ,113.2732305070 ,23.1128205664 ,195,256,1,,440183,137,440100,4??,21585,40096342,5112,trunk,江湾桥, ,F,0,1,T,F,34.68468201
112,112,112,2836,113.2732305070 ,23.1128205664 ,113.2734062740 ,23.1132055253 ,195,256,1,,440183,137,440100,4??,21585,40096342,5112,trunk,江湾桥, ,F,0,1,T,F,34.68468201
113,134,134,2837,113.2734062740 ,23.1132055253 ,113.2735730400 ,23.1137220386 ,195,256,1,,440183,137,440100,4??,21585,40096342,5112,trunk,江湾桥, ,F,0,1,T,F,59.23106367
114,145,145,2838,113.2735730400 ,23.1137220386 ,113.2736649120 ,23.1139964294 ,195,256,1,,440183,137,440100,4??,21585,40096342,5112,trunk,江湾桥, ,F,0,1,T,F,59.23106367
115,203,203,2839,113.2736649120 ,23.1139964294 ,113.2739844390 ,23.1153249466 ,195,256,1,,440183,137,440100,4??,21585,40096342,5112,trunk,江湾桥, ,F,0,1,T,F,31.56266659
116,296,296,2840,113.2739844390 ,23.1153249466 ,113.2741981270 ,23.1161235916 ,195,256,1,,440183,137,440100,4??,21585,40096342,5112,trunk,江湾桥, ,F,0,1,T,F,149.5449919
117,374,374,2841,113.2741981270 ,23.1161235916 ,113.2743658730 ,23.1168651082 ,195,256,1,,440183,137,440100,4??,21585,40096342,5112,trunk,江湾桥, ,F,0,1,T,F,90.40170754
118,117,117,2974,113.3463235790 ,23.1133190005 ,113.3463614800 ,23.1137669524 ,498,589,1,,440183,137,440100,4??,36937,51813973,5111,motorway,华南快速干线,S303,F,0,1,T,F,4.491318588
119,136,136,2974,113.3463235790 ,23.1133190005 ,113.3463614800 ,23.1137669524 ,498,589,1,,440183,137,440100,4??,36937,51813973,5111,motorway,华南快速干线,S303,F,0,1,T,F,4.491318588
120,204,204,2975,113.3463614800 ,23.1137669524 ,113.3464681810 ,23.1153568195 ,498,589,1,,440183,137,440100,4??,36937,51813973,5111,motorway,华南快速干线,S303,F,0,1,T,F,175.0295345
121,523,523,2976,113.3464681810 ,23.1153568195 ,113.3466656320 ,23.1182278108 ,498,589,1,,440183,137,440100,4??,36937,51813973,5111,motorway,华南快速干线,S303,F,0,1,T,F,175.0295345
122,688,688,2977,113.3466656320 ,23.1182278108 ,113.3467653680 ,23.1194802311 ,498,589,1,,440183,137,440100,4??,36937,51813973,5111,motorway,华南快速干线,S303,F,0,1,T,F,316.0983539
123,11,11,2968,113.3457990580 ,23.1054686286 ,113.3457990380 ,23.1057622071 ,499,590,1,,440183,137,440100,4??,36938,51813980,5111,motorway,华南快速干线,S303,F,0,1,T,F,32.25872399
124,16,16,2969,113.3457990380 ,23.1057622071 ,113.3458139870 ,23.1061092381 ,499,590,1,,440183,137,440100,4??,36938,51813980,5111,motorway,华南快速干线,S303,F,0,1,T,F,38.16237318
125,30,30,2970,113.3458139870 ,23.1061092381 ,113.3458827900 ,23.1071881748 ,499,590,1,,440183,137,440100,4??,36938,51813980,5111,motorway,华南快速干线,S303,F,0,1,T,F,118.7605697
126,42,42,2971,113.3458827900 ,23.1071881748 ,113.3459735400 ,23.1084539977 ,499,590,1,,440183,137,440100,4??,36938,51813980,5111,motorway,华南快速干线,S303,F,0,1,T,F,118.7605697
127,81,81,2972,113.3459735400 ,23.1084539977 ,113.3462547720 ,23.1122971371 ,499,590,1,,440183,137,440100,4??,36938,51813980,5111,motorway,华南快速干线,S303,F,0,1,T,F,423.2506572
128,116,116,2973,113.3462547720 ,23.1122971371 ,113.3463235790 ,23.1133190005 ,499,590,1,,440183,137,440100,4??,36938,51813980,5111,motorway,华南快速干线,S303,F,0,1,T,F,112.4994455
129,8,8,3278,113.3456383390 ,23.1055985487 ,113.3456383620 ,23.1052610883 ,500,591,1,,440183,137,440100,4??,36939,51813981,5111,motorway,华南快速干线,S303,F,0,1,T,F,42.55622279
130,15,15,3277,113.3456542840 ,23.1059855613 ,113.3456383390 ,23.1055985487 ,500,591,1,,440183,137,440100,4??,36939,51813981,5111,motorway,华南快速干线,S303,F,0,1,T,F,42.55622279
131,20,20,3276,113.3456692320 ,23.1063401892 ,113.3456542840 ,23.1059855613 ,500,591,1,,440183,137,440100,4??,36939,51813981,5111,motorway,华南快速干线,S303,F,0,1,T,F,63.1669579
132,27,27,3275,113.3457071250 ,23.1069139873 ,113.3456692320 ,23.1063401892 ,500,591,1,,440183,137,440100,4??,36939,51813981,5111,motorway,华南快速干线,S303,F,0,1,T,F,595.7701684
133,83,83,3274,113.3460950570 ,23.1123240968 ,113.3457071250 ,23.1069139873 ,500,591,1,,440183,137,440100,4??,36939,51813981,5111,motorway,华南快速干线,S303,F,0,1,T,F,595.7701684
134,338,338,7950,113.3330736500 ,23.1165362449 ,113.3330887050 ,23.1152931261 ,862,955,1,,440183,137,440100,4??,56157,80912579,5115,tertiary, , ,B,0,0,F,F,119.3396695
135,456,456,7949,113.3330196840 ,23.1176212018 ,113.3330736500 ,23.1165362449 ,863,956,1,,440183,137,440100,4??,56158,80912580,5115,tertiary, , ,B,0,0,F,F,119.3396695
