FID_1,FID_1_1,FID_,FID_base_t,x_s,y_s,x_e,y_e,FID_2,OBJECTID,FID_市界,NAME,ADMINCODE,KIND,CITYCODE,PROVINCENA,FID_gis_os,osm_id,code,fclass,name_1,ref,oneway,maxspeed,layer,bridge,tunnel,road_len
3316,3578,3578,4868,113.2880779000 ,23.1373147182 ,113.2887477470 ,23.1382078750 ,14188,16033,1,,440183,137,440100,4??,966897,347098362,5134,secondary_link,区庄立交, ,F,0,1,T,F,23.71176151
3317,3590,3590,4868,113.2880779000 ,23.1373147182 ,113.2887477470 ,23.1382078750 ,14188,16033,1,,440183,137,440100,4??,966897,347098362,5134,secondary_link,区庄立交, ,F,0,1,T,F,23.71176151
3318,3685,3685,4868,113.2880779000 ,23.1373147182 ,113.2887477470 ,23.1382078750 ,14188,16033,1,,440183,137,440100,4??,966897,347098362,5134,secondary_link,区庄立交, ,F,0,1,T,F,23.71176151
3319,4169,4169,6861,113.2742803090 ,23.1416506949 ,113.2744401190 ,23.1415761529 ,14203,16050,1,,440183,137,440100,4??,967594,347405053,5133,primary_link, , ,F,0,0,F,F,18.18662727
3320,2880,2880,5876,113.2803918370 ,23.1333670801 ,113.2806884190 ,23.1333591092 ,14211,16058,1,,440183,137,440100,4??,967920,347607564,5112,trunk,东风东路, ,F,0,0,F,F,48.66437225
3321,2882,2882,5877,113.2806884190 ,23.1333591092 ,113.2810089610 ,23.1333757952 ,14211,16058,1,,440183,137,440100,4??,967920,347607564,5112,trunk,东风东路, ,F,0,0,F,F,32.62392563
3322,2891,2891,6012,113.2806354890 ,23.1334335462 ,113.2805056720 ,23.1334337100 ,14211,16058,1,,440183,137,440100,4??,967920,347607564,5112,trunk,东风东路, ,F,0,0,F,F,23.25906441
3323,2897,2897,6013,113.2805056720 ,23.1334337100 ,113.2803149400 ,23.1334472445 ,14211,16058,1,,440183,137,440100,4??,967920,347607564,5112,trunk,东风东路, ,F,0,0,F,F,19.43843512
3324,2910,2910,6014,113.2803149400 ,23.1334472445 ,113.2799873950 ,23.1335067302 ,14211,16058,1,,440183,137,440100,4??,967920,347607564,5112,trunk,东风东路, ,F,0,0,F,F,19.43843512
3325,2909,2909,5888,113.2866913830 ,23.1334844595 ,113.2890525640 ,23.1334943108 ,14212,16059,1,,440183,137,440100,4??,967921,347607570,5112,trunk,东风东路, ,F,0,0,F,F,239.9365378
3326,4675,4675,2558,113.2758800940 ,23.1450350971 ,113.2755984600 ,23.1448847714 ,14227,16074,1,,440183,137,440100,4??,967936,347607645,5115,tertiary,恒安路, ,B,0,0,F,F,12.86186293
3327,4682,4682,2557,113.2759869540 ,23.1450978522 ,113.2758800940 ,23.1450350971 ,14227,16074,1,,440183,137,440100,4??,967936,347607645,5115,tertiary,恒安路, ,B,0,0,F,F,10.93299436
3328,4987,4987,2535,113.2827675120 ,23.1466338258 ,113.2806575710 ,23.1465793799 ,14228,16075,1,,440183,137,440100,4??,967937,347607658,5113,primary,恒福路, ,F,0,0,F,F,276.3772274
3329,4189,4189,6857,113.2736250840 ,23.1418611067 ,113.2738767870 ,23.1417979663 ,14317,16198,1,,440183,137,440100,4??,972483,348514901,5114,secondary, , ,F,0,0,F,F,26.4992434
3330,3998,3998,3235,113.3512422120 ,23.1400811760 ,113.3510515480 ,23.1398507720 ,14340,16224,1,,440183,137,440100,4??,972549,348649006,5111,motorway, ,S303,F,0,1,T,F,23.95031303
