Category,Fuel,Segment,CHINA Standard,Technology,Pollutant/Energy consumption,factor
Buses,Petrol,Urban Buses Standard 15 - 18 t,CHINA V,,PM10,0.049
Buses,Diesel,Urban Buses Standard 15 - 18 t,Pre I,,CO,10.53
Buses,Diesel,Urban Buses Standard 15 - 18 t,Pre I,,HC,2.668
Buses,Diesel,Urban Buses Standard 15 - 18 t,Pre I,,NOx,12.421
Buses,Diesel,Urban Buses Standard 15 - 18 t,Pre I,,PM25,1.286
Buses,Diesel,Urban Buses Standard 15 - 18 t,Pre I,,PM10,1.429
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA I,,CO,9.86
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA I,,HC,0.576
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA I,,NOx,11.156
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA I,,PM25,0.983
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA I,,PM10,1.092
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA II,,CO,8.68
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA II,,HC,0.351
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA II,,NOx,9.892
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA II,,PM25,0.882
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA II,,PM10,0.98
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA III,,CO,6.74
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA III,,HC,0.283
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA III,,NOx,9.892
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA III,,PM25,0.395
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA III,,PM10,0.439
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA IV,,CO,3.25
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA IV,,HC,0.107
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA IV,,NOx,9.892
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA IV,,PM25,0.252
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA IV,,PM10,0.28
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA V,,CO,1.62
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA V,,HC,0.054
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA V,,NOx,8.64
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA V,,PM25,0.126
Buses,Diesel,Urban Buses Standard 15 - 18 t,CHINA V,,PM10,0.14
